,Language,Word Entropy,hemisphere,subject,model,accuracy
161,Dutch,High,Left,sub-019,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,8.678499738559561e-05
162,Dutch,High,Right,sub-020,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,9.477272272907934e-06
163,Dutch,High,Left,sub-020,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,5.684078247406797e-05
164,Dutch,High,Right,sub-021,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,3.919306883826049e-05
165,Dutch,High,Left,sub-021,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00010155644555875885
166,Dutch,High,Right,sub-023,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,4.4573855846264337e-05
167,Dutch,High,Left,sub-023,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,5.2624786216442186e-05
168,Dutch,High,Right,sub-025,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00010797847535176041
169,Dutch,High,Left,sub-025,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00023098939150087983
170,Dutch,High,Right,sub-027,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,8.03978555306679e-05
171,Dutch,High,Left,sub-027,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,7.740447829023032e-05
172,Dutch,High,Right,sub-028,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.5308699796545815e-05
173,Dutch,High,Left,sub-028,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.0769076845485486e-06
174,Dutch,High,Right,sub-017,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0003314013723913015
175,Dutch,High,Left,sub-017,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00010058449380069078
176,Dutch,High,Right,sub-001,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,3.461587643058077e-05
177,Dutch,High,Left,sub-001,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,8.23600993083097e-05
178,Dutch,High,Right,sub-026,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,5.0700211451048895e-06
179,Dutch,High,Left,sub-026,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.3863977822607984e-05
180,Dutch,High,Right,sub-029,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,4.6812225560821e-05
181,Dutch,High,Left,sub-029,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00016800903265501343
182,Dutch,High,Right,sub-033,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,5.9434097135105515e-05
183,Dutch,High,Left,sub-033,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,5.284378109521669e-05
184,Dutch,High,Right,sub-030,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00010826983454483451
185,Dutch,High,Left,sub-030,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,3.482197172416307e-05
186,Dutch,High,Right,sub-032,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00010133126242930673
187,Dutch,High,Left,sub-032,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00015314537081980047
188,Dutch,High,Right,sub-013,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,3.1318488736816494e-05
189,Dutch,High,Left,sub-013,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.0748819441803975e-05
190,Dutch,High,Right,sub-015,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,9.41994266891242e-06
191,Dutch,High,Left,sub-015,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.8662609806905392e-05
