phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_number;entropy_class;word_freq_log
A;193.49;193.55;badvertrek;193.46;194.01;0.194634275;4.202625662;1.03E-06;8.42097;592;1;9.5269
t;193.55;193.59;badvertrek;193.46;194.01;0.015723027;3.986835844;1.03E-06;8.42097;592;1;9.5269
f;193.59;193.68;badvertrek;193.46;194.01;0.002033012;6.853088689;1.03E-06;8.42097;592;1;9.5269
@;193.68;193.71;badvertrek;193.46;194.01;0.000798962;5.285402219;1.03E-06;8.42097;592;1;9.5269
t;193.71;193.79;badvertrek;193.46;194.01;0.000798962;5.285402219;1.03E-06;8.42097;592;1;9.5269
r;193.79;193.82;badvertrek;193.46;194.01;0.000798962;5.285402219;1.03E-06;8.42097;592;1;9.5269
E;193.82;193.94;badvertrek;193.46;194.01;0.000798962;5.285402219;1.03E-06;8.42097;592;1;9.5269
k;193.94;194.01;badvertrek;193.46;194.01;0.000798962;5.285402219;1.03E-06;8.42097;592;1;9.5269
w;194.01;194.04;wilde;194.01;194.21;4.483571099;3.789347436;721.6652;9.0779915;593;1;9.495185877
I;194.04;194.07;wilde;194.01;194.21;0.272972368;5.317080511;721.6652;9.0779915;593;1;9.495185877
l;194.07;194.14;wilde;194.01;194.21;0.011784039;1.07439391;721.6652;9.0779915;593;1;9.495185877
d;194.14;194.18;wilde;194.01;194.21;0.005686328;0.871556706;721.6652;9.0779915;593;1;9.495185877
@;194.18;194.21;wilde;194.01;194.21;0.003492698;0.248238002;721.6652;9.0779915;593;1;9.495185877
b;194.21;194.26;binnengaan;194.21;194.81;4.483571099;4.642635154;3.7961;8.043918;594;-1;1.924517998
I;194.26;194.31;binnengaan;194.21;194.81;0.194634275;5.878852023;3.7961;8.043918;594;-1;1.924517998
n;194.31;194.36;binnengaan;194.21;194.81;0.005966382;1.125924573;3.7961;8.043918;594;-1;1.924517998
@;194.36;194.39;binnengaan;194.21;194.81;0.003329634;0.505683103;3.7961;8.043918;594;-1;1.924517998
G;194.39;194.49;binnengaan;194.21;194.81;0.003272165;2.722097569;3.7961;8.043918;594;-1;1.924517998
a:;194.49;194.62;binnengaan;194.21;194.81;0.001257344;3.499023523;3.7961;8.043918;594;-1;1.924517998
N;194.62;194.81;binnengaan;194.21;194.81;0.000887775;5.459697181;3.7961;8.043918;594;-1;1.924517998
t;195.12;195.25;trad;195.12;195.5;4.483571099;5.057095733;1.9438;8.189581;595;-1;0.958879786
r;195.25;195.28;trad;195.12;195.5;0.143024519;3.56084516;1.9438;8.189581;595;-1;0.958879786
A;195.28;195.4;trad;195.12;195.5;0.017155804;3.610185348;1.9438;8.189581;595;-1;0.958879786
t;195.4;195.46;trad;195.12;195.5;0.00237171;5.532186801;1.9438;8.189581;595;-1;0.958879786
@;195.46;195.5;trad;195.12;195.5;0.000801124;5.289624241;1.9438;8.189581;595;-1;0.958879786
h;195.5;195.53;hij;195.5;195.58;4.483571099;3.919556756;8875.7405;9.751495;596;1;13.11565177
Ei;195.53;195.58;hij;195.5;195.58;0.242825887;8.481156837;8875.7405;9.751495;596;1;13.11565177
n;195.58;195.64;naar;195.58;195.68;4.483571099;4.299642361;4447.5548;8.954254;597;1;12.11879667
a:;195.64;195.68;naar;195.58;195.68;0.276849336;2.616316238;4447.5548;8.954254;597;1;12.11879667
f;195.68;195.81;voren;195.68;196.22;4.483571099;7.950002851;5.9914;9.418443;598;1;2.582893154
o:;195.81;195.99;voren;195.68;196.22;0.040921709;3.942375479;5.9914;9.418443;598;1;2.582893154
r;195.99;196.02;voren;195.68;196.22;0.003847937;3.919711964;5.9914;9.418443;598;1;2.582893154
@;196.02;196.09;voren;195.68;196.22;0.001070833;3.420066156;5.9914;9.418443;598;1;2.582893154
n;196.09;196.22;voren;195.68;196.22;0.000868332;5.152494681;5.9914;9.418443;598;1;2.582893154
