,Language,Word Entropy,hemisphere,model,time,subject,accuracy
193,French,High,Left,Phoneme_onset,0,sub-014,-2.2765593467664768e-06
194,French,High,Right,Surprisal,0,sub-014,-4.4412360789088856e-06
195,French,High,Left,Surprisal,0,sub-014,-6.227439582228345e-06
196,French,High,Right,Entropy,0,sub-014,-6.005288771659018e-06
197,French,High,Left,Entropy,0,sub-014,-9.887186164427241e-06
198,French,High,Right,Phoneme_onset,0,sub-015,5.67977529026959e-07
199,French,High,Left,Phoneme_onset,0,sub-015,-6.688300738568712e-07
200,French,High,Right,Surprisal,0,sub-015,1.9036969791867005e-06
201,French,High,Left,Surprisal,0,sub-015,-1.6552229392298785e-06
202,French,High,Right,Entropy,0,sub-015,-4.538017086753381e-06
203,French,High,Left,Entropy,0,sub-015,-6.024774943915575e-06
204,French,High,Right,Phoneme_onset,0,sub-017,-2.800833931228263e-06
205,French,High,Left,Phoneme_onset,0,sub-017,-5.931008901483363e-07
206,French,High,Right,Surprisal,0,sub-017,-1.1243005531388875e-06
207,French,High,Left,Surprisal,0,sub-017,-2.2536484805697826e-06
208,French,High,Right,Entropy,0,sub-017,-7.0751186127698255e-06
209,French,High,Left,Entropy,0,sub-017,-3.0293312019191438e-06
210,French,High,Right,Phoneme_onset,0,sub-018,2.972495753783956e-06
211,French,High,Left,Phoneme_onset,0,sub-018,-6.400206263181321e-07
212,French,High,Right,Surprisal,0,sub-018,-3.720994849195275e-06
213,French,High,Left,Surprisal,0,sub-018,-3.903608647258291e-06
214,French,High,Right,Entropy,0,sub-018,-6.4955854051264176e-06
215,French,High,Left,Entropy,0,sub-018,-4.1693303956512695e-06
216,French,High,Right,Phoneme_onset,0,sub-019,-1.1371668258562645e-06
217,French,High,Left,Phoneme_onset,0,sub-019,-7.333479564706428e-07
218,French,High,Right,Surprisal,0,sub-019,-5.680663192830304e-06
219,French,High,Left,Surprisal,0,sub-019,1.9372475322242913e-06
220,French,High,Right,Entropy,0,sub-019,-3.07925760033187e-06
221,French,High,Left,Entropy,0,sub-019,-6.140904984637819e-06
222,French,High,Right,Phoneme_onset,0,sub-020,1.1673955716337223e-06
