,Language,subject,model,accuracy
221,Dutch,sub-029,acoustic+phonemes+surprisal+entropy+freq,0.0032246214200400683
222,Dutch,sub-025,acoustic+phonemes+surprisal+entropy+freq,0.004217090030850867
223,Dutch,sub-033,acoustic+phonemes+surprisal+entropy+freq,0.0029082287747132333
224,Dutch,sub-001,acoustic+phonemes+surprisal+entropy+freq,0.002343183429350741
225,Dutch,sub-010,acoustic+phonemes+surprisal+entropy+freq,0.0023107189117259836
226,Dutch,sub-015,acoustic+phonemes+surprisal+entropy+freq,0.0023331181756499576
227,Dutch,sub-019,acoustic+phonemes+surprisal+entropy+freq,0.002748222742758226
228,Dutch,sub-004,acoustic+phonemes+surprisal+entropy+freq,0.003437223847628712
229,Dutch,sub-028,acoustic+phonemes+surprisal+entropy+freq,0.002189636077853647
230,Dutch,sub-013,acoustic+phonemes+surprisal+entropy+freq,0.001172215315794734
231,Dutch,sub-020,acoustic+phonemes+surprisal+entropy+freq,0.0010679359228694758
232,Dutch,sub-003,acoustic+phonemes+surprisal+entropy+freq,0.0017399320862726852
233,Dutch,sub-026,acoustic+phonemes+surprisal+entropy+freq,0.00285139494980172
234,Dutch,sub-030,acoustic+phonemes+surprisal+entropy+freq,0.0038186787180103186
235,Dutch,sub-008,acoustic+phonemes+surprisal+entropy+freq,0.0031228225073935555
236,Dutch,sub-014,acoustic+phonemes+surprisal+entropy+freq,0.006951684462663398
237,Dutch,sub-027,acoustic+phonemes+surprisal+entropy+freq,0.0022258953054995704
238,Dutch,sub-032,acoustic+phonemes+surprisal+entropy+freq,0.004403824563798109
239,Dutch,sub-021,acoustic+phonemes+surprisal+entropy+freq,0.0036648718527108153
