,Language,subject,model,accuracy
205,Dutch,sub-028,first_2_parts_acoustic+phonemes+surprisal+entropy,0.0022367634850111026
206,Dutch,sub-013,first_2_parts_acoustic+phonemes+surprisal+entropy,0.0011799265029340655
207,Dutch,sub-020,first_2_parts_acoustic+phonemes+surprisal+entropy,0.0011190461394296435
208,Dutch,sub-003,first_2_parts_acoustic+phonemes+surprisal+entropy,0.001754660369677484
209,Dutch,sub-026,first_2_parts_acoustic+phonemes+surprisal+entropy,0.0028482154865481406
210,Dutch,sub-030,first_2_parts_acoustic+phonemes+surprisal+entropy,0.003797222989051806
211,Dutch,sub-008,first_2_parts_acoustic+phonemes+surprisal+entropy,0.003144694361531879
212,Dutch,sub-014,first_2_parts_acoustic+phonemes+surprisal+entropy,0.006956671042460928
213,Dutch,sub-027,first_2_parts_acoustic+phonemes+surprisal+entropy,0.0022189631083418043
214,Dutch,sub-032,first_2_parts_acoustic+phonemes+surprisal+entropy,0.004285712759738831
215,Dutch,sub-021,first_2_parts_acoustic+phonemes+surprisal+entropy,0.0035732137035650595
216,Dutch,sub-009,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.002593498894164882
217,Dutch,sub-011,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.003332828969452632
218,Dutch,sub-017,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0062270831958736814
219,Dutch,sub-023,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.002272278576883628
220,Dutch,sub-018,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0017998194149300498
221,Dutch,sub-029,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0032246214200400683
222,Dutch,sub-025,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.004217090030850867
223,Dutch,sub-033,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0029082287747132333
224,Dutch,sub-001,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.002343183429350741
225,Dutch,sub-010,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0023107189117259836
226,Dutch,sub-015,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0023331181756499576
227,Dutch,sub-019,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.002748222742758226
228,Dutch,sub-004,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.003437223847628712
229,Dutch,sub-028,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.002189636077853647
230,Dutch,sub-013,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.001172215315794734
231,Dutch,sub-020,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0010679359228694758
232,Dutch,sub-003,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0017399320862726852
233,Dutch,sub-026,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.00285139494980172
234,Dutch,sub-030,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0038186787180103186
235,Dutch,sub-008,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0031228225073935555
236,Dutch,sub-014,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.006951684462663398
237,Dutch,sub-027,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0022258953054995704
238,Dutch,sub-032,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.004403824563798109
239,Dutch,sub-021,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0036648718527108153
