,onset,offset,words
1003,257.58,257.69,want
1004,257.69,257.83,daar
1005,257.83,258.04,waren
1006,258.04,258.28,twee
1007,258.28,258.73,families
1008,258.73,258.97,
1009,258.97,259.07,die
1010,259.07,259.47,elkaar
1011,259.47,259.6,
1012,259.6,259.7,het
1013,259.7,260.06,bezit
1014,260.06,260.2,van
1015,260.2,260.3,een
1016,260.3,260.37,
1017,260.37,260.9,palingkop
1018,260.9,261.04,
1019,261.04,261.59,betwistten
1020,261.59,262.0,
1021,262.0,262.18,en
1022,262.18,262.62,eindelijk
1023,262.62,262.73,
1024,262.73,262.93,kreeg
1025,262.93,263.03,de
1026,263.03,263.09,
1027,263.09,263.26499,kat
1028,263.26499,263.43,dien
1029,263.43,263.75,toch
1030,263.75,265.1,
1031,265.1,265.35,Kijk
1032,265.35,265.69,
1033,265.69,265.86,zoo
1034,265.86,266.12,gaat
1035,266.12,266.2,
1036,266.2,266.23,het
1037,266.23,266.32,nu
1038,266.32,266.38,in
1039,266.38,266.47,de
1040,266.47,266.83,wereld
1041,266.83,267.22,
1042,267.22,267.36,zei
1043,267.36,267.42,de
1044,267.42,267.65,moeder
1045,267.65,267.83,der
1046,267.83,268.2,eendjes
1047,268.2,268.66,
1048,268.66,268.78,en
1049,268.78,268.89,zij
1050,268.89,269.17,stak
1051,269.17,269.31,haar
1052,269.31,269.77,snavel
1053,269.77,269.96,al
1054,269.96,270.21,uit
1055,270.21,270.7,
1056,270.7,270.86,want
1057,270.86,271.09,zij
1058,271.09,271.31,wilde
1059,271.31,271.38,den
1060,271.38,271.43,
1061,271.43,271.94,palingkop
1062,271.94,272.11,ook
1063,272.11,272.26,wel
1064,272.26,272.52,hebben
1065,272.52,273.74,
1066,273.74,274.12,Gebruikt
1067,274.12,274.19,je
1068,274.19,274.53,pooten
1069,274.53,274.69,nu
1070,274.69,274.99,
1071,274.99,275.31,vervolgde
1072,275.31,275.39,
1073,275.39,275.56,zij
1074,275.56,276.17,
1075,276.17,276.37,Houdt
1076,276.37,276.43,je
1077,276.43,276.84,fatsoen
1078,276.84,277.04,
1079,277.04,277.14,en
1080,277.14,277.41,maakt
1081,277.41,277.44,een
1082,277.44,277.87,buiging
1083,277.87,278.01,voor
1084,278.01,278.08,de
