phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_surprisal_GPT;word_number
v;165.23;165.31;vie;165.23;165.64;4.409139780035069;4.287664674052159;9.836505837411586;8.289354;3.3441164;597
i;165.31;165.64;vie;165.23;165.64;0.4276229925312583;4.895406208944401;9.836505837411586;8.289354;3.3441164;597
p;166.28;166.32;Prends;166.28;166.43;4.409139780035069;3.530081653227226;11.029595942368422;4.3400702;17.312435;598
R;166.32;166.37;Prends;166.28;166.43;0.3111310643031198;2.6666723586729733;11.029595942368422;4.3400702;17.312435;598
a~;166.37;166.43;Prends;166.28;166.43;0.0650434435005669;1.676304603583753;11.029595942368422;4.3400702;17.312435;598
Z;166.43;166.55;je;166.43;166.55;4.409139780035069;4.696626826843674;5.117228055278593;4.6971035;12.937264;599
t;166.55;166.68;t'en;166.55;166.68;4.409139780035069;3.99745621873046;NAN;5.3532186;3.7508662;600
p;166.68;166.77;prie;166.68;166.88;4.409139780035069;3.530081653227226;11.832752601074748;4.816319;1.3203294;601
R;166.77;166.85;prie;166.68;166.88;0.3111310643031198;2.6666723586729733;11.832752601074748;4.816319;1.3203294;601
i;166.85;166.88;prie;166.68;166.88;0.0650434435005669;4.46083723299389;11.832752601074748;4.816319;1.3203294;601
m;166.88;166.96;mon;166.88;167.1;4.409139780035069;4.216572460592082;7.8725409875079935;6.468783;4.344586;602
o~;166.96;167.05;mon;166.88;167.1;0.2093762024126659;5.6107578540110215;7.8725409875079935;6.468783;4.344586;602
n;167.05;167.1;mon;166.88;167.1;0.0067680787418046;8.844674384080648;7.8725409875079935;6.468783;4.344586;602
a;167.1;167.16;habit;167.1;167.3;4.409139780035069;3.7941932878383366;16.722765307877438;9.005423;8.032387;603
b;167.16;167.23;habit;167.1;167.3;0.2290040949793377;5.394265642423281;16.722765307877438;9.005423;8.032387;603
i;167.23;167.3;habit;167.1;167.3;0.0093283726009148;1.2590845670433852;16.722765307877438;9.005423;8.032387;603
R;167.3;167.36;royal;167.3;168.04;4.409139780035069;5.400144139330587;16.389121927359923;5.51131;11.547127;604
w;167.36;167.47;royal;167.3;168.04;0.0953729016601603;7.897322038837397;16.389121927359923;5.51131;11.547127;604
a;167.47;167.54;royal;167.3;168.04;0.0014275525764924;0.9760464157217696;16.389121927359923;5.51131;11.547127;604
j;167.54;167.67;royal;167.3;168.04;0.0010899466323673;1.7446249714942337;16.389121927359923;5.51131;11.547127;604
a;167.67;167.71;royal;167.3;168.04;0.0011003141491513;2.8111867836486315;16.389121927359923;5.51131;11.547127;604
l;167.71;167.83;royal;167.3;168.04;0.0009521557393391;2.567568779827688;16.389121927359923;5.51131;11.547127;604
@;167.83;168.04;royal;167.3;168.04;0.0008733488184793;5.322288723570877;16.389121927359923;5.51131;11.547127;604
e;168.13;168.22;et;168.13;168.22;4.409139780035069;4.815820454336018;6.126714125197328;4.997679;3.1780875;605
d;168.22;168.27;donne-moi;168.22;168.52;4.409139780035069;3.5165938505373133;NAN;6.999581;9.076957;606
O;168.27;168.35;donne-moi;168.22;168.52;0.3164590011854679;6.118067939694706;NAN;6.999581;9.076957;606
n;168.35;168.38;donne-moi;168.22;168.52;0.0093961921018642;2.648140722226733;NAN;6.999581;9.076957;606
m;168.38;168.44;donne-moi;168.22;168.52;0.0008333963937691;5.247927513443586;NAN;6.999581;9.076957;606
w;168.44;168.49;donne-moi;168.22;168.52;0.0008333963937691;5.247927513443586;NAN;6.999581;9.076957;606
a;168.49;168.52;donne-moi;168.22;168.52;0.0008333963937691;5.247927513443586;NAN;6.999581;9.076957;606
l;168.52;168.56;le;168.52;168.56;4.409139780035069;3.755260160408023;5.733517167758018;5.2502704;3.7067242;607
t;168.56;168.7;tien;168.56;168.84;4.409139780035069;3.99745621873046;15.000928457005891;4.3055387;1.8174133;608
i;168.7;168.75;tien;168.56;168.84;0.1801079616834537;4.949669114258216;15.000928457005891;4.3055387;1.8174133;608
e~;168.75;168.84;tien;168.56;168.84;0.0103137789537278;1.4711344540498807;15.000928457005891;4.3055387;1.8174133;608
Z;169.9;169.99;Je;169.9;170.04;4.409139780035069;4.696626826843674;5.117228055278593;3.725274;9.862892;609
@;169.99;170.04;Je;169.9;170.04;0.1987545201512666;0.2242312748025787;5.117228055278593;3.725274;9.862892;609
l;170.04;170.1;le;170.04;170.1;4.409139780035069;3.755260160408023;5.733517167758018;5.999492;6.236361;610
v;170.1;170.17;veux;170.1;170.28;4.409139780035069;4.287664674052159;8.50266250651749;8.162113;4.7684937;611
2;170.17;170.28;veux;170.1;170.28;0.4276229925312583;3.665124845593248;8.50266250651749;8.162113;4.7684937;611
b;170.28;170.31;bien;170.28;170.49;4.409139780035069;5.580931033330403;7.700104780671225;5.815562;2.5539284;612
j;170.31;170.38;bien;170.28;170.49;0.1086612429825165;1.21488420167165;7.700104780671225;5.815562;2.5539284;612
9~;170.38;170.49;bien;170.28;170.49;0.0392465724526076;12.124857984086876;7.700104780671225;5.815562;2.5539284;612
m;170.49;170.55;mon;170.49;170.64;4.409139780035069;4.216572460592082;7.8725409875079935;4.5541587;9.617139;613
o~;170.55;170.64;mon;170.49;170.64;0.2093762024126659;5.6107578540110215;7.8725409875079935;4.5541587;9.617139;613
p;170.64;170.71;prince;170.64;171.2;4.409139780035069;3.530081653227226;14.296420097271413;8.86316;7.6752734;614
R;170.71;170.8;prince;170.64;171.2;0.3111310643031198;2.6666723586729733;14.296420097271413;8.86316;7.6752734;614
e~;170.8;170.94;prince;170.64;171.2;0.0650434435005669;6.086719827202139;14.296420097271413;8.86316;7.6752734;614
s;170.94;171.2;prince;170.64;171.2;0.0021646374197159;1.092413468298815;14.296420097271413;8.86316;7.6752734;614
R;171.42;171.55;répondit;171.42;171.9;4.409139780035069;5.400144139330587;18.226996536485736;6.140298;13.899942;615
e;171.55;171.59;répondit;171.42;171.9;0.0953729016601603;2.9728416491374605;18.226996536485736;6.140298;13.899942;615
p;171.59;171.67;répondit;171.42;171.9;0.0174109523377708;2.178725342890966;18.226996536485736;6.140298;13.899942;615
o~;171.67;171.79;répondit;171.42;171.9;0.0047891410482715;0.9318973572488558;18.226996536485736;6.140298;13.899942;615
d;171.79;171.84;répondit;171.42;171.9;0.0031125435647294;0.6779083182280552;18.226996536485736;6.140298;13.899942;615
i;171.84;171.9;répondit;171.42;171.9;0.0026877552011324;4.260480913133852;18.226996536485736;6.140298;13.899942;615
l;171.9;171.93;le;171.9;171.93;4.409139780035069;3.755260160408023;5.733517167758018;7.682494;2.3989077;616
S;171.93;172.05;chasseur;171.93;172.35;4.409139780035069;6.628288652147766;15.372064563361429;8.286585;6.560359;617
