phonemes,phoneme_onset,phoneme_offset,words,word_onset,word_offset
l,54.90998,54.95,les,54.90998,55.18
e,54.95,55.18,les,54.90998,55.18
d,55.18,55.21,dépasser,55.18,55.73
e,55.21,55.36,dépasser,55.18,55.73
p,55.36,55.39,dépasser,55.18,55.73
a,55.39,55.47,dépasser,55.18,55.73
s,55.47,55.63,dépasser,55.18,55.73
e,55.63,55.73,dépasser,55.18,55.73
a~,55.73,55.9,en,55.73,55.9
t,55.9,55.97,toute,55.9,56.08
u,55.97,56.05,toute,55.9,56.08
t,56.05,56.08,toute,55.9,56.08
s,56.08,56.24,sûreté,56.08,56.8
y,56.24,56.33,sûreté,56.08,56.8
R,56.33,56.38,sûreté,56.08,56.8
@,56.38,56.42,sûreté,56.08,56.8
t,56.42,56.58,sûreté,56.08,56.8
e,56.58,56.8,sûreté,56.08,56.8
a~,57.64,57.8,En,57.64,57.8
k,57.8,57.85,quelques,57.8,58.09
E,57.85,57.98,quelques,57.8,58.09
l,57.98,58.01,quelques,57.8,58.09
k,58.01,58.09,quelques,57.8,58.09
m,58.17,58.24,minutes,58.17,58.72
i,58.24,58.35,minutes,58.17,58.72
n,58.35,58.42,minutes,58.17,58.72
y,58.42,58.57,minutes,58.17,58.72
t,58.57,58.72,minutes,58.17,58.72
n,59.02,59.05,nous,59.02,59.16
u,59.05,59.16,nous,59.02,59.16
p,59.16,59.24,planâmes,59.16,59.72
l,59.24,59.28,planâmes,59.16,59.72
a,59.28,59.45,planâmes,59.16,59.72
n,59.45,59.48,planâmes,59.16,59.72
A,59.48,59.66,planâmes,59.16,59.72
m,59.66,59.72,planâmes,59.16,59.72
o,59.72,59.88,au-dessus,59.72,60.47
d,59.88,59.96,au-dessus,59.72,60.47
@,59.96,60.05,au-dessus,59.72,60.47
s,60.05,60.23,au-dessus,59.72,60.47
y,60.23,60.47,au-dessus,59.72,60.47
m,60.68,60.74,magnifiquement,60.68,61.61
a,60.74,60.81,magnifiquement,60.68,61.61
J,60.81,60.87,magnifiquement,60.68,61.61
i,60.87,60.98,magnifiquement,60.68,61.61
f,60.98,61.06,magnifiquement,60.68,61.61
i,61.06,61.23,magnifiquement,60.68,61.61
k,61.23,61.36,magnifiquement,60.68,61.61
m,61.36,61.41,magnifiquement,60.68,61.61
a~,61.41,61.61,magnifiquement,60.68,61.61
e,62.25,62.4,et,62.25,62.47
t,62.4,62.47,et,62.25,62.47
E,62.47,62.77,M,62.47,62.8
m,62.77,62.8,M,62.47,62.8
e~,62.8,62.84,Ainsworth,62.8,63.48
s,62.84,63.02,Ainsworth,62.8,63.48
w,63.02,63.06,Ainsworth,62.8,63.48
O,63.06,63.29,Ainsworth,62.8,63.48
R,63.29,63.45,Ainsworth,62.8,63.48
t,63.45,63.48,Ainsworth,62.8,63.48
e~,63.76,63.91,ainsi,63.76,64.22
s,63.91,64.08,ainsi,63.76,64.22
i,64.08,64.22,ainsi,63.76,64.22
k,64.22,64.28,que,64.22,64.28
l,64.28,64.44,les,64.28,64.49
e,64.44,64.49,les,64.28,64.49
m,64.49,64.57,marins,64.49,65.02
a,64.57,64.76,marins,64.49,65.02
R,64.76,64.79,marins,64.49,65.02
9~,64.79,65.02,marins,64.49,65.02
f,65.38,65.49,furent,65.38,65.71
y,65.49,65.63,furent,65.38,65.71
R,65.63,65.71,furent,65.38,65.71
f,65.71,65.79,frappés,65.71,66.2
R,65.79,65.85,frappés,65.71,66.2
a,65.85,65.94,frappés,65.71,66.2
p,65.94,66.03,frappés,65.71,66.2
e,66.03,66.2,frappés,65.71,66.2
d,66.2,66.24,de,66.2,66.31
@,66.24,66.31,de,66.2,66.31
l,66.31,66.39,leur,66.31,66.53
9,66.39,66.5,leur,66.31,66.53
R,66.5,66.53,leur,66.31,66.53
a,66.53,66.67,apparence,66.53,67.17
p,66.67,66.71,apparence,66.53,67.17
a,66.71,66.85,apparence,66.53,67.17
R,66.85,66.88,apparence,66.53,67.17
a~,66.88,67.06,apparence,66.53,67.17
s,67.06,67.17,apparence,66.53,67.17
p,67.24,67.29,peu,67.24,67.4
2,67.29,67.4,peu,67.24,67.4
e,67.4,67.63,élevée,67.4,68.02
l,67.63,67.66,élevée,67.4,68.02
@,67.66,67.72,élevée,67.4,68.02
v,67.72,67.76,élevée,67.4,68.02
e,67.76,68.02,élevée,67.4,68.02
v,68.58,68.65,vue,68.58,68.75
y,68.65,68.75,vue,68.58,68.75
e~,68.81,68.98,ainsi,68.81,69.25
s,68.98,69.11,ainsi,68.81,69.25
