phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq
t;14.23;14.29;ensuite;13.85;14.29;0.002647717864560168;0.3686994487437151;12.783714657841768
i;14.43;14.49;il;14.43;14.49;4.409139780035069;5.083806629288413;6.09201368788793
l;14.49;14.56;lui;14.49;14.69;4.409139780035069;3.7552601604080227;8.606546025913323
H;14.56;14.63;lui;14.49;14.69;0.22580543424943314;11.694211657307571;8.606546025913323
i;14.63;14.69;lui;14.49;14.69;0.0009795730541815844;2.3357519336249135;8.606546025913323
d;14.69;14.74;donna;14.69;14.91;4.409139780035069;3.5165938505373133;17.132048132430473
o;14.74;14.8;donna;14.69;14.91;0.31645900118546794;6.165357101185096;17.132048132430473
n;14.8;14.86;donna;14.69;14.91;0.009503679824732091;1.6579933619984537;17.132048132430473
a;14.86;14.91;donna;14.69;14.91;0.00413008423046102;4.2206437593997235;17.132048132430473
s;14.91;15.03;son;14.91;15.19;4.409139780035069;3.649530068972855;8.985053908632072
o~;15.03;15.19;son;14.91;15.19;0.27960237707783975;2.2886984878466143;8.985053908632072
e;15.19;15.34;épée;15.19;15.52;4.409139780035069;4.815820454336018;14.908015725648712
p;15.34;15.39;épée;15.19;15.52;0.11194717628853765;5.8581371865358065;14.908015725648712
e;15.39;15.52;épée;15.19;15.52;0.00473706290910348;5.116135990206274;14.908015725648712
e;15.52;15.62;et;15.52;15.62;4.409139780035069;4.815820454336018;6.126714125197328
l;15.79;15.86;le;15.79;15.89;4.409139780035069;3.7552601604080227;5.733517167758018
@;15.86;15.89;le;15.79;15.89;0.22580543424943314;0.8278069017369164;5.733517167758018
R;15.89;16.01;roi;15.89;16.16;4.409139780035069;5.400144139330587;12.39997254707214
w;16.01;16.13;roi;15.89;16.16;0.09537290166016034;7.897322038837397;12.39997254707214
a;16.13;16.16;roi;15.89;16.16;0.0014275525764924299;0.9760464157217696;12.39997254707214
E;16.16;16.19;ayant;16.16;16.41;4.409139780035069;4.0795115792220695;15.2858391105491
j;16.19;16.32;ayant;16.16;16.41;0.25976975867269564;8.760165273584812;15.2858391105491
a~;16.32;16.41;ayant;16.16;16.41;0.00224249975975078;2.4197332916733596;15.2858391105491
b;16.41;16.47;battu;16.41;16.75;4.409139780035069;5.580931033330403;15.009871353716042
a;16.47;16.53;battu;16.41;16.75;0.10866124298251659;3.712846837800014;15.009871353716042
t;16.53;16.63;battu;16.41;16.75;0.011490454819922682;1.556641466081715;15.009871353716042
y;16.63;16.75;battu;16.41;16.75;0.004802156075517123;3.1776073424442446;15.009871353716042
l;16.75;16.83;l';16.75;16.83;4.409139780035069;3.7552601604080227;6.307238837151082
a;16.83;16.91;armée;16.83;17.14;4.409139780035069;3.7941932878383366;13.078079028873317
R;16.91;16.95;armée;16.83;17.14;0.22900409497933774;4.032895445880278;13.078079028873317
m;16.95;17.02;armée;16.83;17.14;0.020283497597153824;1.8950109103510437;13.078079028873317
e;17.02;17.09;armée;16.83;17.14;0.0021404671627043995;0.7198712485182235;13.078079028873317
t;17.09;17.14;armée;16.83;17.14;0.0008626298530410397;5.303780748177103;13.078079028873317
d;17.14;17.17;de;17.14;17.17;4.409139780035069;3.5165938505373133;5.160477121150187
s;17.17;17.26;ses;17.17;17.42;4.409139780035069;3.649530068972855;10.217063212178532
e;17.26;17.32;ses;17.17;17.42;0.27960237707783975;3.393971351818192;10.217063212178532
z;17.32;17.42;ses;17.17;17.42;0.008212565350299406;7.046082979558022;10.217063212178532
E;17.42;17.47;ennemis;17.42;17.78;4.409139780035069;4.0795115792220695;14.702155028202151
n;17.47;17.5;ennemis;17.42;17.78;0.25976975867269564;0.5329297725823123;14.702155028202151
m;17.5;17.64;ennemis;17.42;17.78;0.002787103095842794;0.37077562443121176;14.702155028202151
i;17.64;17.78;ennemis;17.42;17.78;0.002730050417684386;0.3463505539537273;14.702155028202151
p;17.78;17.82;put;17.78;17.91;4.409139780035069;3.530081653227226;17.432315444463242
y;17.82;17.91;put;17.78;17.91;0.3111310643031198;7.320677527000215;17.432315444463242
v;17.91;17.94;vivre;17.91;18.24;4.409139780035069;4.2876646740521585;11.977004342845909
i;17.94;18.06;vivre;17.91;18.24;0.42762299253125835;4.895406208944401;11.977004342845909
v;18.06;18.14;vivre;17.91;18.24;0.028855762430579784;3.3754565872114997;11.977004342845909
R;18.14;18.24;vivre;17.91;18.24;0.004108813851672805;2.595047584634544;11.977004342845909
d;18.24;18.31;désormais;18.24;18.74;4.409139780035069;3.5165938505373133;14.492609486421307
e;18.31;18.4;désormais;18.24;18.74;0.31645900118546794;3.922555441251599;14.492609486421307
z;18.4;18.47;désormais;18.24;18.74;0.03821674699532013;3.510785536032434;14.492609486421307
O;18.47;18.55;désormais;18.24;18.74;0.004813612545252735;2.6494292389055527;14.492609486421307
R;18.55;18.58;désormais;18.24;18.74;0.0015478429555165413;0.8458244063517468;14.492609486421307
m;18.58;18.66;désormais;18.24;18.74;0.0015766312858844142;1.0574405557898894;14.492609486421307
E;18.66;18.74;désormais;18.24;18.74;0.0014546017569922521;0.942610954774817;14.492609486421307
a~;18.74;18.83;en;18.74;18.83;4.409139780035069;5.5578611269601135;6.5845242063489335
l;18.83;18.89;liberté;18.83;19.39;4.409139780035069;3.7552601604080227;13.529579753009346
i;18.89;18.96;liberté;18.83;19.39;0.22580543424943314;5.034828540808481;13.529579753009346
