phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_number;entropy_class;word_freq_log
R;14.95;15.01;remarquablement;14.68;15.6;0.000833396;5.247927513;0.99;4.833227;31;1;-0.01449957
k;15.01;15.09;remarquablement;14.68;15.6;0.000833396;5.247927513;0.99;4.833227;31;1;-0.01449957
a;15.09;15.21;remarquablement;14.68;15.6;0.000833396;5.247927513;0.99;4.833227;31;1;-0.01449957
b;15.21;15.28;remarquablement;14.68;15.6;0.000833396;5.247927513;0.99;4.833227;31;1;-0.01449957
l;15.28;15.34;remarquablement;14.68;15.6;0.000833396;5.247927513;0.99;4.833227;31;1;-0.01449957
@;15.34;15.37;remarquablement;14.68;15.6;0.000833396;5.247927513;0.99;4.833227;31;1;-0.01449957
m;15.37;15.46;remarquablement;14.68;15.6;0.000833396;5.247927513;0.99;4.833227;31;1;-0.01449957
a~;15.46;15.6;remarquablement;14.68;15.6;0.000833396;5.247927513;0.99;4.833227;31;1;-0.01449957
b;15.6;15.73;beau;15.6;15.97;4.40913978;5.580931033;310.15;3.4338467;32;-1;8.276822315
o;15.73;15.97;beau;15.6;15.97;0.108661243;3.654360937;310.15;3.4338467;32;-1;8.276822315
e;16.43;16.55;et;16.43;16.55;4.40913978;4.815820454;12909.08;6.341363;33;1;13.65609857
l;16.55;16.59;l;16.55;16.59;4.40913978;3.75526016;112.12;0.12730166;34;-1;6.808899839
a;16.59;16.69;aspect;16.59;16.98;4.40913978;3.794193288;9.88;7.186087;35;1;3.304511042
s;16.69;16.84;aspect;16.59;16.98;0.229004095;4.162489828;9.88;7.186087;35;1;3.304511042
p;16.84;16.89;aspect;16.59;16.98;0.018346671;6.104171264;9.88;7.186087;35;1;3.304511042
E;16.89;16.98;aspect;16.59;16.98;0.001180464;2.401561267;9.88;7.186087;35;1;3.304511042
d;17.03;17.12;de;17.03;17.12;4.40913978;3.516593851;25220.96;2.6430893;36;-1;14.62233557
l;17.12;17.17;la;17.12;17.26;4.40913978;3.75526016;16028.08;4.3554826;37;-1;13.968314
a;17.17;17.26;la;17.12;17.26;0.225805434;1.769352061;16028.08;4.3554826;37;-1;13.968314
k;17.32;17.38;campagne;17.32;17.96;4.40913978;4.296214188;48.61;7.534901;38;1;5.603181229
a~;17.38;17.6;campagne;17.32;17.96;0.385222146;8.600401992;48.61;7.534901;38;1;5.603181229
p;17.6;17.64;campagne;17.32;17.96;0.002030114;2.739837344;48.61;7.534901;38;1;5.603181229
a;17.64;17.8;campagne;17.32;17.96;0.001104372;2.907027793;48.61;7.534901;38;1;5.603181229
J;17.8;17.96;campagne;17.32;17.96;0.000942812;2.694379686;48.61;7.534901;38;1;5.603181229
p;18.03;18.14;placée;18.03;18.51;4.40913978;3.530081653;5.58;4.6441073;39;-1;2.480265122
l;18.14;18.17;placée;18.03;18.51;0.311131064;4.48144123;5.58;4.6441073;39;-1;2.480265122
a;18.17;18.26;placée;18.03;18.51;0.021980307;1.320381354;5.58;4.6441073;39;-1;2.480265122
s;18.26;18.42;placée;18.03;18.51;0.009235944;3.065364122;5.58;4.6441073;39;-1;2.480265122
e;18.42;18.51;placée;18.03;18.51;0.001142917;5.576235696;5.58;4.6441073;39;-1;2.480265122
s;18.51;18.62;sous;18.51;18.72;4.40913978;3.649530069;337.04;3.1813152;40;-1;8.396776011
u;18.62;18.72;sous;18.51;18.72;0.279602377;3.977109774;337.04;3.1813152;40;-1;8.396776011
n;18.72;18.8;nos;18.72;18.99;4.40913978;4.963258404;524.63;2.447107;41;-1;9.035156498
o;18.8;18.99;nos;18.72;18.99;0.294726155;8.234981654;524.63;2.447107;41;-1;9.035156498
p;18.99;19.03;pieds;18.99;19.43;4.40913978;3.530081653;108.57;6.9530077;42;1;6.762481703
j;19.03;19.17;pieds;18.99;19.43;0.311131064;7.776812877;108.57;6.9530077;42;1;6.762481703
e;19.17;19.43;pieds;18.99;19.43;0.003272205;7.637539344;108.57;6.9530077;42;1;6.762481703
9~;19.79;20.03;un;19.79;20.03;4.40913978;6.148275263;12685.55;5.0036235;43;1;13.63089845
d;20.03;20.13;des;20.03;20.3;4.40913978;3.516593851;6055.71;5.5140586;44;1;12.5640804
e;20.13;20.3;des;20.03;20.3;0.316459001;3.922555441;6055.71;5.5140586;44;1;12.5640804
p;20.3;20.35;plus;20.3;20.41;4.40913978;3.530081653;4088.93;3.8513942;45;-1;11.99750765
l;20.35;20.38;plus;20.3;20.41;0.311131064;4.48144123;4088.93;3.8513942;45;-1;11.99750765
y;20.38;20.41;plus;20.3;20.41;0.021980307;2.397074847;4088.93;3.8513942;45;-1;11.99750765
R;20.41;20.44;romantiques;20.41;21.22;4.40913978;5.400144139;2.4;5.110799;46;1;1.263034406
o;20.44;20.58;romantiques;20.41;21.22;0.095372902;5.91372348;2.4;5.110799;46;1;1.263034406
m;20.58;20.68;romantiques;20.41;21.22;0.003332476;2.658781584;2.4;5.110799;46;1;1.263034406
a~;20.68;20.92;romantiques;20.41;21.22;0.001334661;1.614412957;2.4;5.110799;46;1;1.263034406
t;20.92;20.98;romantiques;20.41;21.22;0.000962856;2.609514106;2.4;5.110799;46;1;1.263034406
i;20.98;21.11;romantiques;20.41;21.22;0.000949727;2.588216946;2.4;5.110799;46;1;1.263034406
k;21.11;21.22;romantiques;20.41;21.22;0.000952981;2.913570128;2.4;5.110799;46;1;1.263034406
a;21.29;21.42;à;21.29;21.42;4.40913978;3.794193288;12190.4;6.976447;47;1;13.57345785
t;21.42;21.51;tous;21.42;21.58;4.40913978;3.997456219;1287.03;1.9919802;48;-1;10.32982997
u;21.51;21.58;tous;21.42;21.58;0.180107962;3.278416644;1287.03;1.9919802;48;-1;10.32982997
l;21.58;21.63;les;21.58;21.8;4.40913978;3.75526016;9961.13;3.3652208;49;-1;13.2820937
e;21.63;21.8;les;21.58;21.8;0.225805434;7.962187143;9961.13;3.3652208;49;-1;13.2820937
p;21.8;21.85;points;21.8;22.01;4.40913978;3.530081653;38.62;0.34232944;50;-1;5.271276259
w;21.85;21.91;points;21.8;22.01;0.311131064;7.044937008;38.62;0.34232944;50;-1;5.271276259
e~;21.91;22.01;points;21.8;22.01;0.004701069;0.812188267;38.62;0.34232944;50;-1;5.271276259
d;22.01;22.08;de;22.01;22.08;4.40913978;3.516593851;25220.96;0.07005527;51;-1;14.62233557
v;22.08;22.11;vue;22.08;22.52;4.40913978;4.287664674;198.01;2.342477;52;-1;7.629429482
y;22.11;22.52;vue;22.08;22.52;0.427622993;8.314851813;198.01;2.342477;52;-1;7.629429482
e;22.76;22.88;était;22.76;23.12;4.40913978;4.815820454;2707.56;7.799074;53;1;11.40277759
t;22.88;22.96;était;22.76;23.12;0.111947176;0.264481323;2707.56;7.799074;53;1;11.40277759
E;22.96;23.07;était;22.76;23.12;0.088753609;0.101342875;2707.56;7.799074;53;1;11.40277759
z;23.07;23.12;était;22.76;23.12;0.001303332;6.031218731;2707.56;7.799074;53;1;11.40277759
a;23.12;23.24;alors;23.12;23.52;4.40913978;3.794193288;1777.65;7.5697536;54;1;10.79575559
l;23.24;23.3;alors;23.12;23.52;0.229004095;2.822961062;1777.65;7.5697536;54;1;10.79575559
O;23.3;23.4;alors;23.12;23.52;0.040794884;0.984992356;1777.65;7.5697536;54;1;10.79575559
R;23.4;23.52;alors;23.12;23.52;0.018547096;0.030354892;1777.65;7.5697536;54;1;10.79575559
p;23.52;23.56;particulièrement;23.52;24.43;4.40913978;3.530081653;14.78;5.7590866;55;1;3.885574364
a;23.56;23.64;particulièrement;23.52;24.43;0.311131064;3.304444954;14.78;5.7590866;55;1;3.885574364
R;23.64;23.71;particulièrement;23.52;24.43;0.03957027;0.513748812;14.78;5.7590866;55;1;3.885574364
t;23.71;23.77;particulièrement;23.52;24.43;0.033654526;2.520550409;14.78;5.7590866;55;1;3.885574364
i;23.77;23.84;particulièrement;23.52;24.43;0.007317582;2.255666682;14.78;5.7590866;55;1;3.885574364
k;23.84;23.91;particulièrement;23.52;24.43;0.00231327;1.768514559;14.78;5.7590866;55;1;3.885574364
y;23.91;24.01;particulièrement;23.52;24.43;0.001413174;0.994764759;14.78;5.7590866;55;1;3.885574364
l;24.01;24.04;particulièrement;23.52;24.43;0.001413174;0.994764759;14.78;5.7590866;55;1;3.885574364
j;24.04;24.15;particulièrement;23.52;24.43;0.001358387;1.607192448;14.78;5.7590866;55;1;3.885574364
E;24.15;24.19;particulièrement;23.52;24.43;0.001193493;1.401371706;14.78;5.7590866;55;1;3.885574364
R;24.19;24.23;particulièrement;23.52;24.43;0.001193493;1.401371706;14.78;5.7590866;55;1;3.885574364
m;24.23;24.31;particulièrement;23.52;24.43;0.001087918;1.741894145;14.78;5.7590866;55;1;3.885574364
a~;24.31;24.43;particulièrement;23.52;24.43;0.001087918;1.741894145;14.78;5.7590866;55;1;3.885574364
s;24.43;24.57;sublime;24.43;25.2;4.40913978;3.649530069;9.96;1.4909844;56;-1;3.316145742
y;24.57;24.67;sublime;24.43;25.2;0.279602377;4.621087551;9.96;1.4909844;56;-1;3.316145742
b;24.67;24.74;sublime;24.43;25.2;0.016267838;4.556016538;9.96;1.4909844;56;-1;3.316145742
l;24.74;24.77;sublime;24.43;25.2;0.001762405;3.863516054;9.96;1.4909844;56;-1;3.316145742
i;24.77;25.01;sublime;24.43;25.2;0.000927719;2.830298171;9.96;1.4909844;56;-1;3.316145742
m;25.01;25.1;sublime;24.43;25.2;0.000926907;2.828958621;9.96;1.4909844;56;-1;3.316145742
@;25.1;25.2;sublime;24.43;25.2;0.000845038;5.269781238;9.96;1.4909844;56;-1;3.316145742
l;25.81;25.86;Les;25.81;25.96;4.40913978;3.75526016;9961.13;9.6976385;57;1;13.2820937
e;25.86;25.96;Les;25.81;25.96;0.225805434;7.962187143;9961.13;9.6976385;57;1;13.2820937
g;25.96;26.05;gorges;25.96;26.33;4.40913978;7.296423784;1.33;3.8438582;58;-1;0.411426246
O;26.05;26.09;gorges;25.96;26.33;0.03405562;4.700368224;1.33;3.8438582;58;-1;0.411426246
R;26.09;26.21;gorges;25.96;26.33;0.002455423;4.09560751;1.33;3.8438582;58;-1;0.411426246
Z;26.21;26.33;gorges;25.96;26.33;0.000948725;2.653007888;1.33;3.8438582;58;-1;0.411426246
n;26.33;26.37;nombreuses;26.33;26.92;4.40913978;4.963258404;14.01;4.912683;59;1;3.808385051
o~;26.37;26.54;nombreuses;26.33;26.92;0.294726155;1.787230963;14.01;4.912683;59;1;3.808385051
b;26.54;26.64;nombreuses;26.33;26.92;0.001842145;0.651543933;14.01;4.912683;59;1;3.808385051
R;26.64;26.71;nombreuses;26.33;26.92;0.001823224;0.638359672;14.01;4.912683;59;1;3.808385051
