phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_number;entropy_class;word_freq_log
a;165.15;165.23;la;165.1;165.23;0.225805434;1.769352061;16028.08;8.551344;596;1;13.968314
v;165.23;165.31;vie;165.23;165.64;4.40913978;4.287664674;986.59;5.369776;597;1;9.946306854
i;165.31;165.64;vie;165.23;165.64;0.427622993;4.895406209;986.59;5.369776;597;1;9.946306854
p;166.28;166.32;Prends;166.28;166.43;4.40913978;3.530081653;431.5;5.0585403;598;-1;8.753216749
R;166.32;166.37;Prends;166.28;166.43;0.311131064;2.666672359;431.5;5.0585403;598;-1;8.753216749
a~;166.37;166.43;Prends;166.28;166.43;0.065043444;1.676304604;431.5;5.0585403;598;-1;8.753216749
Z;166.43;166.55;je;166.43;166.55;4.40913978;4.696626827;25988.48;6.502974;599;1;14.66558464
t;166.55;166.68;t’en;166.55;166.68;4.40913978;3.997456219;1.11E-06;9.866185;600;1;9.0073
p;166.68;166.77;prie;166.68;166.88;4.40913978;3.530081653;247.29;7.4569697;601;1;7.95006009
R;166.77;166.85;prie;166.68;166.88;0.311131064;2.666672359;247.29;7.4569697;601;1;7.95006009
i;166.85;166.88;prie;166.68;166.88;0.065043444;4.460837233;247.29;7.4569697;601;1;7.95006009
m;166.88;166.96;mon;166.88;167.1;4.40913978;4.216572461;3849.01;7.4976277;602;1;11.9102717
o~;166.96;167.05;mon;166.88;167.1;0.209376202;5.610757854;3849.01;7.4976277;602;1;11.9102717
n;167.05;167.1;mon;166.88;167.1;0.006768079;8.844674384;3849.01;7.4976277;602;1;11.9102717
a;167.1;167.16;habit;167.1;167.3;4.40913978;3.794193288;8.34;7.011367;603;1;3.060047384
b;167.16;167.23;habit;167.1;167.3;0.229004095;5.394265642;8.34;7.011367;603;1;3.060047384
i;167.23;167.3;habit;167.1;167.3;0.009328373;1.259084567;8.34;7.011367;603;1;3.060047384
R;167.3;167.36;royal;167.3;168.04;4.40913978;5.400144139;10.51;7.1702633;604;1;3.393690764
w;167.36;167.47;royal;167.3;168.04;0.095372902;7.897322039;10.51;7.1702633;604;1;3.393690764
a;167.47;167.54;royal;167.3;168.04;0.001427553;0.976046416;10.51;7.1702633;604;1;3.393690764
j;167.54;167.67;royal;167.3;168.04;0.001089947;1.744624971;10.51;7.1702633;604;1;3.393690764
a;167.67;167.71;royal;167.3;168.04;0.001100314;2.811186784;10.51;7.1702633;604;1;3.393690764
l;167.71;167.83;royal;167.3;168.04;0.000952156;2.56756878;10.51;7.1702633;604;1;3.393690764
@;167.83;168.04;royal;167.3;168.04;0.000873349;5.322288724;10.51;7.1702633;604;1;3.393690764
e;168.13;168.22;et;168.13;168.22;4.40913978;4.815820454;12909.08;7.9832315;605;1;13.65609857
d;168.22;168.27;donne-moi;168.22;168.52;4.40913978;3.516593851;1.11E-06;5.271037;606;1;9.0073
O;168.27;168.35;donne-moi;168.22;168.52;0.316459001;6.11806794;1.11E-06;5.271037;606;1;9.0073
n;168.35;168.38;donne-moi;168.22;168.52;0.009396192;2.648140722;1.11E-06;5.271037;606;1;9.0073
m;168.38;168.44;donne-moi;168.22;168.52;0.000833396;5.247927513;1.11E-06;5.271037;606;1;9.0073
w;168.44;168.49;donne-moi;168.22;168.52;0.000833396;5.247927513;1.11E-06;5.271037;606;1;9.0073
a;168.49;168.52;donne-moi;168.22;168.52;0.000833396;5.247927513;1.11E-06;5.271037;606;1;9.0073
l;168.52;168.56;le;168.52;168.56;4.40913978;3.75526016;16953.5;6.7593307;607;1;14.04929552
t;168.56;168.7;tien;168.56;168.84;4.40913978;3.997456219;27.51;4.8602276;608;-1;4.781884235
i;168.7;168.75;tien;168.56;168.84;0.180107962;4.949669114;27.51;4.8602276;608;-1;4.781884235
e~;168.75;168.84;tien;168.56;168.84;0.010313779;1.471134454;27.51;4.8602276;608;-1;4.781884235
Z;169.9;169.99;Je;169.9;170.04;4.40913978;4.696626827;25988.48;6.525088;609;1;14.66558464
@;169.99;170.04;Je;169.9;170.04;0.19875452;0.224231275;25988.48;6.525088;609;1;14.66558464
l;170.04;170.1;le;170.04;170.1;4.40913978;3.75526016;16953.5;8.443627;610;1;14.04929552
v;170.1;170.17;veux;170.1;170.28;4.40913978;4.287664674;2486.93;6.895928;611;1;11.28015019
2;170.17;170.28;veux;170.1;170.28;0.427622993;3.665124846;2486.93;6.895928;611;1;11.28015019
b;170.28;170.31;bien;170.28;170.49;4.40913978;5.580931033;4337.68;5.529588;612;1;12.08270791
j;170.31;170.38;bien;170.28;170.49;0.108661243;1.214884202;4337.68;5.529588;612;1;12.08270791
9~;170.38;170.49;bien;170.28;170.49;0.039246572;12.12485798;4337.68;5.529588;612;1;12.08270791
m;170.49;170.55;mon;170.49;170.64;4.40913978;4.216572461;3849.01;9.040742;613;1;11.9102717
o~;170.55;170.64;mon;170.49;170.64;0.209376202;5.610757854;3849.01;9.040742;613;1;11.9102717
p;170.64;170.71;prince;170.64;171.2;4.40913978;3.530081653;44.83;6.8623023;614;1;5.486392594
R;170.71;170.8;prince;170.64;171.2;0.311131064;2.666672359;44.83;6.8623023;614;1;5.486392594
e~;170.8;170.94;prince;170.64;171.2;0.065043444;6.086719827;44.83;6.8623023;614;1;5.486392594
s;170.94;171.2;prince;170.64;171.2;0.002164637;1.092413468;44.83;6.8623023;614;1;5.486392594
R;171.42;171.55;répondit;171.42;171.9;4.40913978;5.400144139;2.94;7.918023;615;1;1.555816155
e;171.55;171.59;répondit;171.42;171.9;0.095372902;2.972841649;2.94;7.918023;615;1;1.555816155
p;171.59;171.67;répondit;171.42;171.9;0.017410952;2.178725343;2.94;7.918023;615;1;1.555816155
o~;171.67;171.79;répondit;171.42;171.9;0.004789141;0.931897357;2.94;7.918023;615;1;1.555816155
d;171.79;171.84;répondit;171.42;171.9;0.003112544;0.677908318;2.94;7.918023;615;1;1.555816155
i;171.84;171.9;répondit;171.42;171.9;0.002687755;4.260480913;2.94;7.918023;615;1;1.555816155
l;171.9;171.93;le;171.9;171.93;4.40913978;3.75526016;16953.5;7.984563;616;1;14.04929552
S;171.93;172.05;chasseur;171.93;172.35;4.40913978;6.628288652;21.27;5.2425766;617;1;4.410748128
a;172.05;172.1;chasseur;171.93;172.35;0.065709543;3.103105305;21.27;5.2425766;617;1;4.410748128
s;172.1;172.23;chasseur;171.93;172.35;0.009993948;3.50535826;21.27;5.2425766;617;1;4.410748128
9;172.23;172.27;chasseur;171.93;172.35;0.001746289;1.754647872;21.27;5.2425766;617;1;4.410748128
R;172.27;172.35;chasseur;171.93;172.35;0.001257673;1.252573513;21.27;5.2425766;617;1;4.410748128
k;172.35;172.43;car;172.35;172.53;4.40913978;4.296214188;251.4;5.745789;618;1;7.97384084
a;172.43;172.5;car;172.35;172.53;0.385222146;5.036386063;251.4;5.745789;618;1;7.97384084
R;172.5;172.53;car;172.35;172.53;0.021941932;2.581627989;251.4;5.745789;618;1;7.97384084
Z;172.53;172.63;jamais;172.53;172.85;4.40913978;4.696626827;1360.22;6.945899;619;1;10.40962429
a;172.63;172.75;jamais;172.53;172.85;0.19875452;4.349661841;1360.22;6.945899;619;1;10.40962429
m;172.75;172.82;jamais;172.53;172.85;0.017220502;0.171287797;1360.22;6.945899;619;1;10.40962429
E;172.82;172.85;jamais;172.53;172.85;0.014958463;0.038887153;1360.22;6.945899;619;1;10.40962429
Z;172.85;172.98;je;172.85;172.98;4.40913978;4.696626827;25988.48;1.4925802;620;-1;14.66558464
a;172.98;173.03;n’aurais;172.98;173.13;4.40913978;3.794193288;1.11E-06;6.647821;621;1;9.0073
n;173.03;173.06;n’aurais;172.98;173.13;0.229004095;5.391121712;1.11E-06;6.647821;621;1;9.0073
R;173.06;173.09;n’aurais;172.98;173.13;0.008802373;7.887197533;1.11E-06;6.647821;621;1;9.0073
E;173.09;173.13;n’aurais;172.98;173.13;0.000865265;5.308885057;1.11E-06;6.647821;621;1;9.0073
p;173.13;173.23;pu;173.13;173.3;4.40913978;3.530081653;366.22;7.0383725;622;1;8.516566771
y;173.23;173.3;pu;173.13;173.3;0.311131064;7.320677527;366.22;7.0383725;622;1;8.516566771
t;173.3;173.42;tirer;173.3;173.58;4.40913978;3.997456219;113.71;5.2323956;623;1;6.829215325
i;173.42;173.47;tirer;173.3;173.58;0.180107962;4.949669114;113.71;5.2323956;623;1;6.829215325
R;173.47;173.54;tirer;173.3;173.58;0.010313779;2.511736105;113.71;5.2323956;623;1;6.829215325
e;173.54;173.58;tirer;173.3;173.58;0.002300587;1.833496869;113.71;5.2323956;623;1;6.829215325
s;173.58;173.71;sur;173.58;173.87;4.40913978;3.649530069;2572.52;4.604026;624;-1;11.32896658
