,onset,offset,words
789,243.31,243.44,la
790,243.44,243.88,fleur
791,243.88,243.98,est
792,243.98,244.32,restée
793,244.32,244.78,oubliée
794,244.78,244.95,sur
795,244.95,245.08,la
796,245.08,245.73,fenêtre
797,245.73,245.76,et
798,245.76,245.91,
799,245.91,246.1,s’est
800,246.1,246.82,desséchée
801,246.82,247.86,
802,247.86,247.99,Le
803,247.99,248.3,jour
804,248.3,248.43,du
805,248.43,249.12,déménagement
806,249.12,249.6,
807,249.6,249.66,on
808,249.66,249.74,l’
809,249.74,249.8,a
810,249.8,250.19,jetée
811,250.19,250.49,parmi
812,250.49,250.67,les
813,250.67,251.2,immondices
814,251.2,251.31,de
815,251.31,251.49,la
816,251.49,251.6,rue
817,251.6,251.8,et
818,251.8,252.17,
819,252.17,252.42,c’est
820,252.42,252.65,cette
821,252.65,252.99,pauvre
822,252.99,253.28,fleur
823,253.28,253.69,fanée
824,253.69,253.72,que
825,253.72,253.95,nous
826,253.95,254.19,avons
827,254.19,254.65,recueillie
828,254.65,254.78,dans
829,254.78,255.06,notre
830,255.06,255.56,bouquet
831,255.56,255.9,
832,255.9,256.12,car
833,256.12,256.23,elle
834,256.23,256.33,a
835,256.33,256.74,causé
836,256.74,256.98,plus
837,256.98,257.12,de
838,257.12,257.57,joie
839,257.57,257.73,
840,257.73,257.86,que
841,257.86,258.03,la
842,258.03,258.17,plus
843,258.17,258.51,riche
844,258.51,258.86,fleur
845,258.86,258.98,du
846,258.98,259.37,jardin
847,259.37,259.41,d’
848,259.41,259.59,une
849,259.59,260.09,reine
850,260.09,261.33,
851,261.33,261.53,Mais
852,261.53,261.85,comment
853,261.85,262.2,sais-tu
854,262.2,262.33,tout
855,262.33,262.78,cela
856,262.78,263.15,
857,263.15,263.61,demanda
858,263.61,263.65,l’
859,263.65,264.1,enfant
860,264.1,265.07,
861,265.07,265.24,Je
862,265.24,265.4,le
863,265.4,265.75,sais
864,265.75,266.34,
865,266.34,266.81,répondit
866,266.81,266.86,l’
867,266.86,267.28,ange
868,267.28,267.79,
869,267.79,268.07,parce
870,268.07,268.15,que
871,268.15,268.42,j’étais
872,268.42,268.83,moi-même
873,268.83,269.01,ce
874,269.01,269.27,petit
875,269.27,269.61,garçon
876,269.61,270.02,malade
877,270.02,270.21,qui
878,270.21,270.29,
879,270.29,270.75,marchait
880,270.75,270.95,avec
881,270.95,271.06,des
882,271.06,271.77,béquilles
883,271.77,272.16,
884,272.16,272.27,Je
885,272.27,272.71,reconnais
886,272.71,272.88,bien
887,272.88,273.02,ma
888,273.02,273.59,fleur
889,273.59,274.01249,
