,onset,offset,words
634,180.05,180.51,fer
635,180.51,180.72,
636,180.72,180.86,et
637,180.86,181.0,deux
638,181.0,181.5,morceaux
639,181.5,181.66,de
640,181.66,181.78,pain
641,181.78,182.96,
642,182.96,183.17,Avec
643,183.17,183.33,la
644,183.33,183.79,verge
645,183.79,183.94,
646,183.94,184.08,vous
647,184.08,184.54,frapperez
648,184.54,184.8,trois
649,184.8,185.07,fois
650,185.07,185.13,à
651,185.13,185.3,la
652,185.3,185.67,porte
653,185.67,185.74,d’
654,185.74,186.08,airain
655,186.08,186.21,du
656,186.21,186.7,château
657,186.7,186.81,et
658,186.81,186.95,elle
659,186.95,187.03,
660,187.03,187.67,s’ouvrira
661,187.67,188.64,
662,188.64,188.75,en
663,188.75,189.45,dedans
664,189.45,189.5,
665,189.5,189.63,il
666,189.63,189.71,y
667,189.71,189.87,aura
668,189.87,190.11,deux
669,190.11,190.44,lions
670,190.44,190.59,qui
671,190.59,190.99,accourront
672,190.99,191.18,
673,191.18,191.29,la
674,191.29,191.57,gueule
675,191.57,191.98,béante
676,191.98,192.43,
677,192.43,192.95,jetez-leur
678,192.95,193.13,le
679,193.13,193.51,pain
680,193.51,193.74,
681,193.74,193.89,et
682,193.89,193.96,ils
683,193.96,194.01,
684,194.01,194.53,s’apaiseront
685,194.53,194.66,Puis
686,194.66,196.27,hâtez-vous
687,196.27,196.42,
688,196.42,196.60499,de
689,196.60499,196.98,chercher
690,196.98,197.05,l
691,197.05,197.14,Eau
692,197.14,197.17,de
693,197.17,197.23,la
694,197.23,197.61,vie
695,197.61,197.84,avant
696,197.84,198.01,que
697,198.01,198.28,midi
698,198.28,198.74,sonne
699,198.74,199.51,
700,199.51,199.67,car
701,199.67,199.91,alors
702,199.91,200.02,la
703,200.02,200.26,porte
704,200.26,200.36,se
705,200.36,200.99,refermera
706,200.99,201.85,
707,201.85,201.94,et
708,201.94,202.09,vous
709,202.09,202.62,resterez
710,202.62,203.4,emprisonné
711,203.4,204.47,
712,204.47,204.56,Le
713,204.56,204.94,prince
714,204.94,205.38,remercia
715,205.38,205.91,poliment
716,205.91,206.03,le
717,206.03,206.41499,petit
718,206.41499,206.9,homme
719,206.9,206.99,
720,206.99,207.2,prit
721,207.2,207.33,la
722,207.33,207.74,verge
723,207.74,207.81,et
724,207.81,207.99,le
725,207.99,208.25,pain
726,208.25,208.31,et
727,208.31,208.45,
728,208.45,208.67,s’en
729,208.67,208.99,alla
730,208.99,209.41,
731,209.41,209.58,et
732,209.58,209.84,
733,209.84,209.99,tout
734,209.99,210.04,se
735,210.04,210.34,trouva
736,210.34,210.54,tel
737,210.54,210.68,que
738,210.68,210.84,le
739,210.84,210.98,nain
740,210.98,211.03,le
741,211.03,211.14,lui
742,211.14,211.37,avait
743,211.37,211.95,annoncé
744,211.95,212.5,
745,212.5,212.6,Au
746,212.6,213.17,troisième
747,213.17,213.32,coup
748,213.32,213.41,de
749,213.41,213.9,verge
750,213.9,214.02,
751,214.02,214.19,la
752,214.19,214.64,porte
753,214.64,214.99,s’ouvrit
754,214.99,215.14,et
755,215.14,215.6,
756,215.6,215.94,lorsque
757,215.94,216.02,le
758,216.02,216.33,prince
759,216.33,216.43,eut
760,216.43,216.49,
761,216.49,216.93,apaisé
762,216.93,217.08,les
763,217.08,217.35,lions
764,217.35,217.52,il
765,217.52,217.84,entra
766,217.84,218.01,dans
767,218.01,218.04,le
768,218.04,218.68,château
