,onset,offset,words
799,270.31,270.65,
800,270.65,270.83,et
801,270.83,271.59,tenter
802,271.59,271.79,
803,271.79,271.94,au
804,271.94,272.14,lieu
805,272.14,272.2,de
806,272.2,272.77,rabattre
807,272.77,272.98,sur
808,272.98,273.54,Paris
809,273.54,273.57,d
810,273.57,273.93,
811,273.93,274.52,atteindre
812,274.52,274.7,la
813,274.7,275.07,côte
814,275.07,275.19,du
815,275.19,276.05,Nord-Amérique
816,276.05,276.92,
817,276.92,277.35,Après
818,277.35,277.44,une
819,277.44,277.86,légère
820,277.86,278.69,réflexion
821,278.69,279.04,
822,279.04,279.17,je
823,279.17,279.25,
824,279.25,279.63,donnai
825,279.63,279.72,de
826,279.72,280.08,bon
827,280.08,280.26,gré
828,280.26,280.41,mon
829,280.41,280.46,
830,280.46,281.37,assentiment
831,281.37,281.46,à
832,281.46,281.74,cette
833,281.74,282.28,violente
834,282.28,283.35,proposition
835,283.35,283.72,
836,283.72,283.87,qui
837,283.87,284.28,chose
838,284.28,284.87499,étrange
839,284.87499,285.06998,à
840,285.06998,285.5,dire
841,285.5,285.81,
842,285.81,285.9,ne
843,285.9,286.34,trouva
844,286.34,286.44,d
845,286.44,287.27,objections
846,287.27,287.52,
847,287.52,287.62,que
848,287.62,287.69,
849,287.69,287.82,dans
850,287.82,287.87,
851,287.87,288.04,les
852,288.04,288.3,deux
853,288.3,288.76,marins
854,288.76,289.55,
855,289.55,290.33,Toutefois
856,290.33,290.59,
857,290.59,290.75,comme
858,290.75,291.0,nous
859,291.0,291.38,étions
860,291.38,291.54,la
861,291.54,292.38,majorité
862,292.38,292.72,
863,292.72,292.81,nous
864,292.81,293.54499,maîtrisâmes
865,293.54499,293.74,leurs
866,293.74,294.7,appréhensions
867,294.7,295.14,
868,295.14,295.27,et
869,295.27,295.48,nous
870,295.48,296.25499,maintînmes
871,296.25499,297.03,résolument
872,297.03,297.24,notre
873,297.24,297.75,route
874,297.75,298.00703,
